               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.05804,            0.014919,            0.025483,             0.63372,             0.86495,             0.80411,             0.27541,            0.043022,           0.0085898,            0.015848,            0.009307,            0.009307,            0.009307
                  37,            0.054749,            0.014104,            0.020925,             0.61007,               0.825,             0.74165,             0.38349,            0.038227,           0.0085995,            0.016806,           0.0092872,           0.0092872,           0.0092872
                  38,            0.057285,             0.01454,            0.019297,             0.32826,               0.775,             0.34727,             0.14185,            0.043892,           0.0091106,            0.024134,           0.0092674,           0.0092674,           0.0092674
                  39,            0.063847,            0.015719,             0.01766,              0.5057,                 0.7,             0.51724,             0.24396,            0.042594,           0.0087842,            0.021689,           0.0092476,           0.0092476,           0.0092476
                  40,            0.067624,            0.014062,            0.018954,              0.5057,                 0.7,             0.51724,             0.24396,            0.042594,           0.0087842,            0.021689,           0.0092278,           0.0092278,           0.0092278
                  41,            0.062751,            0.013226,            0.021805,             0.28839,               0.825,              0.3964,             0.20596,            0.033201,             0.00934,            0.030557,            0.009208,            0.009208,            0.009208
                  42,            0.065936,             0.01365,            0.017053,             0.30286,               0.525,             0.35443,             0.13094,            0.048829,           0.0084098,            0.026627,           0.0091882,           0.0091882,           0.0091882
                  43,            0.069882,            0.013589,            0.019201,             0.42507,                0.75,             0.52613,             0.21519,            0.044428,            0.008184,           0.0078833,           0.0091684,           0.0091684,           0.0091684
                  44,            0.067758,            0.012694,            0.015797,             0.42507,                0.75,             0.52613,             0.21519,            0.044428,            0.008184,           0.0078833,           0.0091486,           0.0091486,           0.0091486
                  45,            0.061952,            0.015281,            0.017085,              0.7263,             0.81848,             0.86514,             0.52401,            0.036391,            0.007623,           0.0070897,           0.0091288,           0.0091288,           0.0091288
